class,knowledge_questions
abdomen,"[""What structures are contained within the abdomen?"", ""What functions does the abdomen perform?"", ""What relationship does the abdomen have to the rib cage?"", ""What major organs are housed within the abdominal cavity?"", ""What are the boundaries of the abdomen in terms of anatomy?"", ""What role does the abdomen play in digestion?"", ""How does the abdomen protect the internal organs?"", ""Can the abdomen be surgically divided into sections for diagnostic purposes?"", ""What is the relationship between the abdomen and the pelvis?"", ""What muscles define the anterior wall of the abdomen?"", ""Does the abdomen have any direct nerve innervation?"", ""Is the abdomen involved in any specific medical imaging techniques?"", ""What is the purpose of the abdominal wall?"", ""What are some common medical conditions or diseases associated with the abdomen?"", ""What is the relationship between the abdomen and the urinary system?"", ""Is there any variation in the appearance of the abdomen due to differences in body types?"", ""What role does the abdomen play in respiration?""]"
abdominal cavity,"[""What anatomical structures are contained within the abdominal cavity?"", ""Which organ systems include the abdominal cavity?"", ""What types of organs or tissues are found in the abdominal cavity?"", ""What functions are performed by the organs in the abdominal cavity?"", ""What structural features characterize the walls of the abdominal cavity?"", ""Which blood vessels supply the organs in the abdominal cavity?"", ""What nervous innervation is provided to the organs of the abdominal cavity?"", ""What protective mechanisms exist for the organs within the abdominal cavity?"", ""What types of pathologies or conditions can affect the organs in the abdominal cavity?"", ""What surgical interventions can be performed within the abdominal cavity?"", ""What diagnostic techniques are used to assess the organs in the abdominal cavity?""]"
abnormality,"[""What is the superclass of 'Abnormality' in biomedical ontologies?"", ""Which physiological systems are most frequently affected by 'Abnormality'?"", ""How does 'Abnormality' manifest phenotypically?"", ""What genetic or molecular mechanisms underlie 'Abnormality'?"", ""Which structural features are commonly altered in 'Abnormality'?"", ""What are typical pathological consequences of 'Abnormality'?"", ""What organ or tissue interactions are involved in 'Abnormality'?"", ""What properties describe the severity or degree of 'Abnormality'?"", ""What logical axioms define 'Abnormality's impact on health or function?""]"
abruption,"[""What are the superclasses of Abrupt ion in a medical event ontology?"", ""Which organ systems or anatomical structures include the Abrupt ion?"", ""What types of medical events or processes are characterized by Abrupt ion?"", ""What specific effects or impacts on the body does Abrupt ion cause?"", ""What causal relations or associations are implied by Abrupt ion with other medical events or conditions?"", ""What data properties describe the Abrupt ion, such as its severity or duration?"", ""What logical axioms or definitions capture the Abrupt ion\u2019s role in medical events?"", ""How is the Abrupt ion integrated into larger pathophysiological mechanisms or processes?"", ""Which relationships define the Abrupt ion\u2019s interaction with other medical events or processes?""]"
abundant,"[""What anatomical structures contain abundant proteins?"", ""What functions are performed by abundant proteins in cellular processes?"", ""How are abundant proteins involved in protein-protein interactions?"", ""What is the significance of abundance in protein function or regulation?"", ""Can abundant proteins act as carriers for other molecules or signals?""]"
acid,"[""What chemical compounds contain acids?"", ""What classes of organic compounds include acids?"", ""What properties or characteristics define acids?"", ""What reactions or processes involve acids?"", ""What data properties describe acids, such as acidity or pH level?"", ""What are the functional roles of acids in biological systems?"", ""What axioms or principles govern the behavior of acids in chemical reactions?"", ""How do acids participate in metabolic pathways?"", ""What is the hierarchical or categorical relationship between acids and other chemical substances?""]"
acid fast,"[""What microscopic features distinguish acid fast bacilli from non-acid fast bacteria after ZN staining?"", ""What specific cell wall components are responsible for the acid fast property?"", ""What types of mycobacteria are commonly identified as acid fast?"", ""What stains can be used to visualize acid fast bacilli in clinical diagnostics?"", ""What is the biological significance of the acid fast characteristic in pathogenicity or resistance to certain treatments?"", ""How does the acid fast property impact the infectivity or virulence of mycobacteria?"", ""Are there any notable exceptions or variations within the acid fast staining results among different species or strains of mycobacteria?""]"
acinar tissue,"[""What are the superclasses of Acinar tissue in an anatomical hierarchy?"", ""Which organ systems include Acinar tissue?"", ""What types of cells constitute Acinar tissue?"", ""What biological functions does Acinar tissue perform?"", ""What structural features characterize Acinar tissue\u2019s architecture?"", ""Which molecules or chemical substances are typically associated with Acinar tissue?"", ""What organ interactions occur with Acinar tissue in the digestive system?"", ""What data properties describe Acinar tissue, for example, its location or histology?"", ""What axioms define Acinar tissue\u2019s role in digestion?""]"
acrocyanosis,"[""What are the superclasses of Acrocyanosis in a medical condition ontology?"", ""How is Acrocyanosis related to conditions like Raynaud's phenomenon or connective tissue diseases?"", ""What are the symptoms or characteristics of Acrocyanosis?"", ""What causes or triggers Acrocyanosis, such as cold exposure or smoking?"", ""What treatment options are available for managing Acrocyanosis, including medications or lifestyle modifications?"", ""What data properties describe Acrocyanosis, such as prevalence or duration?"", ""What axioms or logical statements define the association between Acrocyanosis and underlying health conditions?"", ""How is Acrocyanosis diagnosed, including physical examination or laboratory tests?"", ""What are the potential complications or risks associated with Acrocyanosis?""]"
activation,"[""What is the superclass of activation in the context of cell signaling?"", ""Which pathways or molecules mediate the process of activation?"", ""What are the subtypes or types of activation in cellular response?"", ""What downstream effects or responses are elicited by activation?"", ""What specific triggers can lead to the activation of a cell or protein?"", ""How does the duration or kinetics of activation influence cellular behavior?"", ""What feedback mechanisms regulate the process of activation?"", ""What external stimuli can cause activation in different cell types or tissues?""]"
