class,knowledge_questions,generated_knowledge,vlm_reasoning_questions
acute lymphocytic leukemia,"[""What are the superclasses of acute lymphocytic leukemia in an oncological hierarchy?"", ""Which cell lineage does acute lymphocytic leukemia originate from?"", ""What pathological mechanisms underlie the development of acute lymphocytic leukemia?"", ""What are the common genetic or chromosomal abnormalities associated with acute lymphocytic leukemia?"", ""What clinical manifestations or symptoms are characteristic of acute lymphocytic leukemia?"", ""What treatment modalities are typically applied for acute lymphocytic leukemia?"", ""What prognostic factors influence the outcome of acute lymphocytic leukemia?"", ""What laboratory tests or biomarkers aid in the diagnosis of acute lymphocytic leukemia?""]","[""Acute lymphocytic leukemia is classified under the superclasses [Blood Cancer, Leukemia]."", ""Acute lymphocytic leukemia originates from the lymphoid cell lineage."", ""The development of acute lymphocytic leukemia involves mechanisms such as [Uncontrolled Cell Proliferation, Genetic Mutations]."", ""Common genetic or chromosomal abnormalities seen in acute lymphocytic leukemia include [Philadelphia Chromosome, Hyperdiploidy]."", ""Characteristic clinical manifestations of acute lymphocytic leukemia include [Fatigue, Fever, Easy Bruising]."", ""Treatment modalities for acute lymphocytic leukemia often involve [Chemotherapy, Radiation Therapy, Stem Cell Transplantation]."", ""Prognostic factors influencing acute lymphocytic leukemia outcomes include [Age, White Blood Cell Count, Genetic Abnormalities]."", ""Laboratory tests aiding in the diagnosis of acute lymphocytic leukemia are [Complete Blood Count, Bone Marrow Biopsy, Flow Cytometry].""]","[""Is there an object in the image that is derived from the lymphoid cell lineage?"", ""Does the image contain a structure that involves uncontrolled cell proliferation?"", ""Is there something in the image that is associated with the presence of the Philadelphia chromosome?"", ""Is the object related to a blood disorder?"", ""Does the image show a condition that can manifest with fatigue and fever?""]"
adenocarcinoma,"[""What is the superclass of adenocarcinoma in the hierarchy of tumors?"", ""Which tissue or organ is commonly affected by adenocarcinoma?"", ""What types of cells give rise to adenocarcinoma?"", ""What are the common features or characteristics of adenocarcinoma under histopathological examination?"", ""What biological processes or pathways are dysregulated in adenocarcinoma?"", ""What genetic or epigenetic alterations are associated with adenocarcinoma?"", ""What are the typical symptoms or clinical manifestations of adenocarcinoma?"", ""What diagnostic tests or biomarkers are used to identify adenocarcinoma?"", ""How does adenocarcinoma metastasize or spread to distant sites?""]","[""The superclass of adenocarcinoma in the hierarchy of tumors is [Carcinoma]."", ""Adenocarcinoma commonly affects the [Lung, Breast, Prostate]."", ""Adenocarcinoma originates from [Glandular Epithelial Cells]."", ""Common histopathological features of adenocarcinoma include [Invasive Growth, Tubular or Glandular Patterns]."", ""In adenocarcinoma, dysregulated biological processes or pathways include [Cell Proliferation, Invasiveness]."", ""Adenocarcinoma is associated with genetic or epigenetic alterations in genes such as [TP53, KRAS]."", ""Common symptoms or clinical manifestations of adenocarcinoma include [Abdominal Pain, Weight Loss, Fatigue]."", ""Diagnostic tests or biomarkers for adenocarcinoma include [Biopsy, Imaging Studies, Blood Tests]."", ""Adenocarcinoma metastasizes or spreads to distant sites through [Lymphatic Spread, Hematogenous Spread].""]","[""Is there an object in the image that originates from glandular epithelial cells?"", ""Does the image contain a structure that exhibits invasive growth and glandular patterns?"", ""Is there something in the image that is associated with dysregulated cell proliferation and invasiveness?"", ""Is the object related to a tumor that commonly affects the lung, breast, or prostate?"", ""Does the image contain a carcinoma with genetic alterations in TP53 or KRAS?""]"
adenocarcinomadoes,"[""What are the superclasses of adenocarcinoma in an oncological classification?"", ""What specific tissues or organs is adenocarcinoma typically derived from?"", ""Which biological processes or signaling pathways are dysregulated in adenocarcinoma?"", ""What types of mutations or genetic alterations are commonly associated with adenocarcinoma?"", ""What histopathological features characterize adenocarcinoma?"", ""What are the prognostic factors or biomarkers associated with adenocarcinoma?"", ""How does adenocarcinoma invade and metastasize to distant sites?"", ""What therapeutic targets have been identified for adenocarcinoma treatment?""]","[""adenocarcinoma is classified under the superclasses [Carcinoma, Adenoma]."", ""adenocarcinoma is typically derived from glandular tissues or organs such as [Breast, Lung, Pancreas]."", ""The dysregulated biological processes or signaling pathways in adenocarcinoma include [Wnt/beta-catenin, PI3K/AKT/mTOR]."", ""adenocarcinoma is commonly associated with mutations or genetic alterations in genes such as [TP53, KRAS, BRAF]."", ""adenocarcinoma is characterized by histopathological features including [Gland formation, Mucin production, Infiltrative growth pattern]."", ""Prognostic factors or biomarkers associated with adenocarcinoma include [Tumor stage, Lymph node involvement, HER2 expression]."", ""adenocarcinoma invades and metastasizes to distant sites through mechanisms involving [Local invasion, Lymphatic spread, Hematogenous spread]."", ""Therapeutic targets identified for adenocarcinoma treatment include [EGFR, VEGF, PARP].""]","[""Does the image contain an object involved in the Wnt/beta-catenin signaling pathway?"", ""Is there something in the image that could be associated with TP53 mutations?"", ""Is the object characterized by gland formation and mucin production?"", ""Does the image show a structure with infiltrative growth pattern?"", ""Is the object associated with HER2 expression as a prognostic factor?""]"
adherent,"[""What are the superclasses of 'adherent' in an anatomical hierarchy?"", ""What types of cells or tissues are classified as 'adherent'?"", ""What functionalities or roles do 'adherent' cells or tissues have in the body?"", ""What structural features or characteristics define 'adherent' cells or tissues?"", ""What specific biological processes or pathways are associated with 'adherent' cells or tissues?"", ""What organ systems or regions typically include 'adherent' cells or tissues?"", ""What data properties describe 'adherent' cells or tissues, such as their shape or size?"", ""What axioms or logical definitions capture the 'adherent' cells or tissues\u2019 function in the body?""]","[""The 'adherent' is classified under the superclasses [Cell, Tissue]."", ""The 'adherent' includes cell types such as [Epithelial Cells, Endothelial Cells, Connective Tissue]."", ""The 'adherent' cells or tissues function in [Cell Adhesion, Tissue Integrity, Barrier Formation]."", ""The 'adherent' cells or tissues are characterized by structural features such as [Cell Junctions, Extracellular Matrix, Basement Membrane]."", ""The 'adherent' cells or tissues are involved in biological processes like [Cell Migration, Wound Healing, Tissue Development]."", ""The 'adherent' cells or tissues are typically found in organ systems or regions such as [Skin, Intestines, Blood Vessels]."", ""Descriptive properties of 'adherent' cells or tissues include [Shape, Size, Texture, Elasticity]."", ""Axioms that define the 'adherent' cells or tissues include roles in [Supporting Tissue Structure, Regulating Cell Movement, Maintaining Barrier Integrity].""]","[""Is there an object in the image that functions in cell adhesion?"", ""Does the image contain a structure involved in tissue integrity?"", ""Is there something in the image that could be a component of the extracellular matrix?"", ""Is the object responsible for maintaining barrier function?"", ""Does the image contain a cell type characterized by epithelial characteristics?""]"
adjacent,"[""What are the superclasses of adjacent in an anatomical relationship ontology?"", ""What types of anatomical structures can be described as adjacent?"", ""How does the concept of adjacency relate to other spatial relationships like proximity or contact?"", ""What functional implications arise from the adjacency of anatomical structures?"", ""Can you enumerate examples of anatomical structures that are typically considered adjacent?"", ""What properties or characteristics distinguish adjacent structures from non-adjacent ones?"", ""How does the adjacency relationship influence anatomical organization or development?"", ""What are the logical consequences of two structures being adjacent in a spatial context?""]","[""The superclasses of adjacent in an anatomical relationship ontology include [Spatial Relationship, Topological Relation]."", ""Anatomical structures described as adjacent can include [Organ, Tissue, Cell]."", ""Adjacency is a type of spatial relationship implying closeness or nearness, similar to proximity or contact."", ""The adjacency of anatomical structures can imply functional cooperation or interaction."", ""Examples of typically adjacent anatomical structures include [Heart and Lungs, Liver and Gallbladder, Neurons in a Synapse]."", ""Properties distinguishing adjacent structures from non-adjacent ones may include [Proximity, Connection, Shared Function]."", ""The adjacency relationship can influence anatomical organization by facilitating communication or material exchange."", ""Two structures being adjacent in a spatial context imply a close spatial relationship, potentially affecting their interaction.""]","[""Is there an object in the image that shares a spatial relationship with another structure?"", ""Does the image contain two or more structures that are in close proximity to each other?"", ""Is there something in the image that has a topological relation with its neighboring structures?"", ""Can two objects in the image be considered as having a connection due to their spatial arrangement?"", ""Does the image depict any structures that demonstrate functional cooperation due to their adjacency?""]"
adrenal,"[""What are the superclasses of adrenal in an endocrine ontology?"", ""Which glandular system includes the adrenal?"", ""What types of cells constitute the adrenal?"", ""What hormones does the adrenal gland produce and release?"", ""What structural features characterize the adrenal gland's cortex and medulla?"", ""Which regulatory mechanisms control the secretion of adrenal hormones?"", ""What organ interactions occur with the adrenal gland in the endocrine system?"", ""What data properties describe the adrenal gland, such as its size or shape?"", ""What axioms define the adrenal gland\u2019s role in stress response?""]","[""The adrenal is classified under the superclasses [Gland, Endocrine Gland]."", ""The adrenal is part of the following glandular system [Endocrine System]."", ""The adrenal is composed of cell types such as [Cortical Cells, Medullary Cells]."", ""The adrenal produces and releases hormones like [Cortisol, Aldosterone, Adrenaline]."", ""The adrenal is characterized by structural features such as [Cortex, Medulla]."", ""The adrenal hormone secretion is regulated by mechanisms including [ACTH Feedback, Sympathetic Stimulation]."", ""The adrenal interacts with organs such as [Pituitary Gland, Gonads, Thyroid Gland]."", ""Descriptive properties of the adrenal include [Size, Shape, Location]."", ""Axioms that define the adrenal\u2019s role include stress response modulation and electrolyte balance.""]",[]
amebiasis,"[""What are the superclasses of Amoebiasis in a disease ontology?"", ""What are the clinical manifestations or symptoms of Amoebiasis?"", ""What causative agents or pathogens are responsible for Amoebiasis?"", ""What are the affected body systems or organs in cases of Amoebiasis?"", ""What diagnostic methods or tests are commonly used to identify Amoebiasis?"", ""What treatment options or interventions are available for Amoebiasis?"", ""What are the epidemiological characteristics or prevalence patterns of Amoebiasis?"", ""What pathophysiological processes occur during the course of Amoebiasis?""]","[""Amoebiasis is classified under the superclasses [Infection, Parasitic Disease]."", ""The clinical manifestations of Amoebiasis include [Diarrhea, Abdominal Pain, Liver Abscess]."", ""Amoebiasis is caused by the protozoan pathogen [Entamoeba histolytica]."", ""The affected body systems in Amoebiasis are primarily [Digestive System, Liver]."", ""Diagnostic methods for Amoebiasis include [Microscopy, Stool Culture, ELISA]."", ""Treatment options for Amoebiasis involve [Antiparasitic Medications, Antibiotics]."", ""Amoebiasis has a global distribution with higher prevalence in [Tropical and Subtropical Regions]."", ""Pathophysiological processes of Amoebiasis involve [Invasion of Intestinal Barrier, Tissue Destruction, Inflammatory Response].""]","[""Is there an object in the image that is a result of an infection?"", ""Does the image contain a structure that is associated with the digestive system?"", ""Is there something in the image caused by a parasitic disease?"", ""Does the image show symptoms related to abdominal pain?"", ""Is the object a type of protozoan pathogen?""]"
amyloid angiopathy,"[""What are the superclasses of amyloid angiopathy in a disease ontology?"", ""What pathological processes are involved in the development of amyloid angiopathy?"", ""Which organ systems are primarily affected by amyloid angiopathy?"", ""What types of amyloid proteins are deposited in the blood vessels of amyloid angiopathy?"", ""What clinical symptoms or manifestations are characteristic of amyloid angiopathy?"", ""What imaging techniques can be used to diagnose amyloid angiopathy?"", ""What genetic factors contribute to the development of amyloid angiopathy?"", ""What treatment options are available for amyloid angiopathy?"", ""What are the prognostic factors for amyloid angiopathy?""]","[""amyloid angiopathy is classified under the superclasses [Vascular Disease, Amyloidosis]."", ""The development of amyloid angiopathy involves pathological processes such as [Amyloid Protein Accumulation, Vascular Wall Disruption]."", ""Primary organ systems affected by amyloid angiopathy include [Cerebral, Ocular, Dermatological]."", ""In amyloid angiopathy, the types of amyloid proteins deposited in blood vessels are [Beta-Amyloid, AA Amyloid]."", ""Characteristic clinical symptoms or manifestations of amyloid angiopathy include [Cognitive Impairment, Stroke, Skin Lesions]."", ""Imaging techniques used to diagnose amyloid angiopathy include [MRI, PET Scan, Biopsy]."", ""Genetic factors contributing to the development of amyloid angiopathy include [Mutations in APP Gene, Mutations in PSEN1 Gene]."", ""Treatment options for amyloid angiopathy include [Supportive Care, Immunotherapy, Anti-Amyloid Therapy]."", ""Prognostic factors for amyloid angiopathy include [Age of Onset, Severity of Symptoms, Presence of Comorbidities].""]","[""Is there an object in the image associated with the accumulation of amyloid proteins in the walls of cerebral blood vessels?"", ""Does the image contain a structure affected by the disruption of vascular walls due to amyloid deposits?"", ""Is there something in the image that is indicative of a disease involving both vascular and amyloid pathologies?"", ""Is the object responsible for cognitive impairment and stroke due to amyloid protein accumulation?"", ""Does the image contain a lesion characteristic of amyloid angiopathy in the skin?""]"
anomalous,"[""What superclasses of anomalous are recognized in the medical domain?"", ""What types of entities or conditions can be considered anomalous?"", ""What are the possible causes or factors leading to an anomaly?"", ""What biological or physiological characteristics define an anomaly?"", ""What relationships exist between anomalies and other medical concepts?"", ""What data properties or attributes describe an anomaly?""]","[""Anomalous is classified under the superclasses [Disease, Disorder]."", ""Anomalous can refer to entities such as [Structural Abnormalities, Genetic Mutations, Developmental Disorders]."", ""Anomalies can arise from factors including [Genetic Mutations, Environmental Exposure, Congenital Defects]."", ""Anomalies are characterized by features such as [Abnormal Growth, Dysfunction, Irregularities]."", ""Anomalies are related to concepts like [Syndromes, Malformations, Deviations from Norm]."", ""Anomalies can be described by properties such as [Severity, Prevalence, Variability].""]","[""Is there an object in the image that is characterized by abnormal growth?"", ""Does the image contain a structure that is associated with a genetic mutation?"", ""Is there something in the image that indicates a deviation from the norm?"", ""Is the object responsible for a dysfunction or irregularity?"", ""Does the image contain an entity that is classified as a disease?""]"
antitrypsin,"[""What is the biomedical superclass of the antitrypsin protein?"", ""Which organ or tissue is primarily associated with the production of antitrypsin?"", ""What are the main functions or roles of antitrypsin in the body?"", ""What is the relationship between antitrypsin and elastase?"", ""What are the consequences of a deficiency in antitrypsin?"", ""What is the role of antitrypsin in the regulation of inflammation?"", ""How does antitrypsin interact with other proteins or molecules in its biological pathway?"", ""What genetic factors influence the expression or activity of antitrypsin?"", ""What diseases or conditions are associated with abnormalities in antitrypsin levels or function?""]","[""antitrypsin is classified under the superclass [Serine Protease Inhibitor]."", ""The liver is primarily responsible for the production of antitrypsin [A]."", ""The main functions of antitrypsin include [Inhibition of Elastase, Regulation of Inflammation, Protection of Tissues from Damage]."", ""antitrypsin has a direct relationship with elastase as it inhibits its activity [A]."", ""Deficiency in antitrypsin can lead to conditions such as [Emphysema, Liver Disease]."", ""antitrypsin plays a role in regulating inflammation by inhibiting elastase activity [A]."", ""antitrypsin interacts with proteins such as elastase and cathepsin G in its biological pathway [A, B]."", ""Genetic factors such as mutations in the SERPINA1 gene can influence the expression or activity of antitrypsin [A]."", ""Diseases associated with abnormalities in antitrypsin levels or function include [Alpha-1 Antitrypsin Deficiency, Chronic Obstructive Pulmonary Disease].""]","[""Is there an object in the image that is a serine protease inhibitor?"", ""Does the image contain a structure primarily responsible for the production of antitrypsin?"", ""Is there something in the image that inhibits elastase activity?"", ""Is the object involved in regulating inflammation?"", ""Does the image contain a protein that has a direct relationship with elastase?""]"
