class,questons,label
abdomen,Is there a structure in the image that might produce bile?,1
abdomen,Does the image show an organ that could be involved in detoxifying substances?,1
abdomen,Is there something in the image that is connected to the gallbladder?,1
abdomen,Does the image include a structure composed of lobules?,1
abdomen,Is there a part of the digestive system visible in the image?,1
abdomen,Is there an object in the image that produces insulin?,0
abdomen,Does the image contain a structure that regulates neurotransmitters?,0
abdomen,Is there something in the image that could be a spinal cord segment?,0
abdomen,Is the object responsible for pumping blood?,0
abdomen,Does the image contain a gland of the endocrine system?,0
abdominal,Is there a structure in the image that might produce bile?,1
abdominal,Does the image show an organ that could be involved in detoxifying substances?,1
abdominal,Is there something in the image that is connected to the gallbladder?,1
abdominal,Does the image include a structure composed of lobules?,1
abdominal,Is there a part of the digestive system visible in the image?,1
abdominal,Is there an object in the image that produces insulin?,0
abdominal,Does the image contain a structure that regulates neurotransmitters?,0
abdominal,Is there something in the image that could be a spinal cord segment?,0
abdominal,Is the object responsible for pumping blood?,0
abdominal,Does the image contain a gland of the endocrine system?,0
abdominal cavity,Is there a structure in the image that might produce bile?,1
abdominal cavity,Does the image show an organ that could be involved in detoxifying substances?,1
abdominal cavity,Is there something in the image that is connected to the gallbladder?,1
abdominal cavity,Does the image include a structure composed of lobules?,1
abdominal cavity,Is there a part of the digestive system visible in the image?,1
abdominal cavity,Is there an object in the image that produces insulin?,0
abdominal cavity,Does the image contain a structure that regulates neurotransmitters?,0
abdominal cavity,Is there something in the image that could be a spinal cord segment?,0
abdominal cavity,Is the object responsible for pumping blood?,0
abdominal cavity,Does the image contain a gland of the endocrine system?,0
abnormal,Is there a structure in the image that might produce bile?,1
abnormal,Does the image show an organ that could be involved in detoxifying substances?,1
abnormal,Is there something in the image that is connected to the gallbladder?,1
abnormal,Does the image include a structure composed of lobules?,1
abnormal,Is there a part of the digestive system visible in the image?,1
abnormal,Is there an object in the image that produces insulin?,0
abnormal,Does the image contain a structure that regulates neurotransmitters?,0
abnormal,Is there something in the image that could be a spinal cord segment?,0
abnormal,Is the object responsible for pumping blood?,0
abnormal,Does the image contain a gland of the endocrine system?,0
abnormality,Is there a structure in the image that might produce bile?,1
abnormality,Does the image show an organ that could be involved in detoxifying substances?,1
