class,knowledge_questions,generated_knowledge
alveolar damage,"[""What are the superclasses of alveolar damage in a pathological ontology?"", ""What histopathological features characterize alveolar damage?"", ""Which lung structures are directly affected by alveolar damage?"", ""What biological processes or mechanisms lead to alveolar damage?"", ""What diseases or conditions are commonly associated with alveolar damage?"", ""What cell types are primarily involved in the response to alveolar damage?"", ""What data properties describe alveolar damage, such as severity or extent?"", ""What relationships exist between alveolar damage and impaired gas exchange?"", ""What axioms define alveolar damage in the context of respiratory pathology?""]","[""Alveolar damage is categorized under the superclasses [Tissue Injury, Pulmonary Pathology]."", ""Alveolar damage is characterized by histopathological features such as [Hyaline Membrane Formation, Edema, Inflammatory Cell Infiltration]."", ""Alveolar damage directly affects lung structures including [Alveolar Epithelium, Alveolar Capillaries, Interstitium]."", ""Biological processes leading to alveolar damage include [Inflammation, Oxidative Stress, Mechanical Injury]."", ""Diseases commonly associated with alveolar damage are [Acute Respiratory Distress Syndrome, Pneumonia, COVID-19]."", ""Cell types primarily involved in the response to alveolar damage are [Type I Pneumocytes, Type II Pneumocytes, Neutrophils, Macrophages]."", ""Alveolar damage can be described by data properties such as [Severity, Extent, Duration, Distribution]."", ""There is a direct relationship between alveolar damage and impaired gas exchange due to [Disrupted Alveolar-Capillary Barrier, Reduced Surface Area]."", ""Axioms defining alveolar damage in respiratory pathology include [Loss of Alveolar Integrity, Compromised Gas Exchange, Inflammatory Response].""]"
caries,"[""What are the superclasses of caries in a dental disease ontology?"", ""Which anatomical structures are affected by caries, such as enamel or dentin?"", ""What microorganisms are etiologically associated with the development of caries?"", ""What pathological processes characterize the progression of caries?"", ""What clinical manifestations are used to diagnose caries?"", ""What risk factors are ontologically linked to the occurrence of caries?"", ""What preventive or therapeutic interventions are related to caries management?"", ""What relationships exist between caries and other oral diseases in an ontology?"", ""What data properties describe caries, such as severity, location, or stage?""]","[""Caries is categorized under the superclasses [Dental Disease, Infectious Disease]."", ""Caries primarily affects anatomical structures including [Enamel, Dentin, Cementum]."", ""Microorganisms associated with caries development include [Streptococcus mutans, Lactobacillus species, Actinomyces]."", ""The progression of caries is characterized by pathological processes such as [Demineralization, Acid Production, Tissue Destruction]."", ""Clinical manifestations used to diagnose caries include [Cavitation, Discoloration, Sensitivity, Pain]."", ""Risk factors linked to caries include [High Sugar Intake, Poor Oral Hygiene, Reduced Salivary Flow, Socioeconomic Status]."", ""Preventive or therapeutic interventions for caries management include [Fluoride Application, Dental Sealants, Restorative Treatment, Oral Health Education]."", ""Caries is ontologically related to other oral diseases such as [Periodontal Disease, Pulpitis, Periapical Abscess]."", ""Descriptive data properties of caries include [Severity, Location, Stage, Lesion Depth].""]"
chancroid,"[""What are the superclasses of chancroid in an infectious disease ontology?"", ""Which bacterial species is the etiological agent of chancroid?"", ""What anatomical sites are most commonly affected by chancroid lesions?"", ""What are the characteristic clinical manifestations of chancroid?"", ""What relationships exist between chancroid and other sexually transmitted infections?"", ""What diagnostic criteria or laboratory tests are used to confirm chancroid?"", ""What treatment protocols or antibiotics are indicated for chancroid?"", ""What epidemiological properties, such as prevalence or risk factors, are associated with chancroid?"", ""What complications or sequelae can arise from untreated chancroid?""]","[""Chancroid is categorized under the superclasses [Infectious Disease, Sexually Transmitted Infection, Bacterial Disease]."", ""The etiological agent responsible for chancroid is [Haemophilus ducreyi]."", ""Chancroid lesions most frequently affect anatomical sites such as [External Genitalia, Perineal Region, Inguinal Lymph Nodes]."", ""The clinical manifestations of chancroid include [Painful Genital Ulcers, Inguinal Lymphadenopathy, Purulent Discharge]."", ""Chancroid is epidemiologically and clinically associated with other sexually transmitted infections such as [HIV, Syphilis, Herpes Simplex Virus]."", ""Diagnosis of chancroid is confirmed by laboratory tests including [Culture for Haemophilus ducreyi, PCR Assays, Gram Stain of Ulcer Exudate]."", ""Recommended treatments for chancroid include antibiotics such as [Azithromycin, Ceftriaxone, Ciprofloxacin, Erythromycin]."", ""Epidemiological properties of chancroid include [Low Prevalence in Developed Countries, Higher Incidence in Resource-Limited Settings, Risk Factors such as Unprotected Sex and Multiple Partners]."", ""Untreated chancroid can lead to complications such as [Phimosis, Balanitis, Chronic Ulcers, Increased HIV Transmission Risk].""]"
female,"[""What are the superclasses of female in a biological sex ontology?"", ""What anatomical or physiological characteristics define the class female in biomedical ontologies?"", ""Which reproductive organs are typically associated with the female class?"", ""What genetic or chromosomal markers are used to identify the female class (e.g., XX karyotype)?"", ""What roles or functions are unique to the female class in human reproduction?"", ""What data properties describe the female class, such as hormone levels or secondary sexual characteristics?"", ""How is the female class related to the concept of pregnancy or gestation in ontological models?"", ""What diseases or conditions are specifically associated with the female class in medical ontologies?"", ""What axioms or logical definitions distinguish the female class from other biological sex classes?""]","[""The female class is a subclass of [Biological Sex, Sex Characteristic]."", ""Females are defined by anatomical and physiological features such as [Ovaries, Mammary Glands, Menstrual Cycle]."", ""Reproductive organs associated with the female class include [Ovaries, Uterus, Fallopian Tubes, Vagina]."", ""Genetic markers for the female class typically include [XX Karyotype, Absence of SRY Gene]."", ""Unique roles of the female class in human reproduction involve [Oogenesis, Gestation, Childbirth, Lactation]."", ""Descriptive properties of the female class include [Estrogen and Progesterone Levels, Breast Development, Wider Pelvis]."", ""The female class is ontologically linked to pregnancy and gestation through [Ability to Conceive, Support Fetal Development]."", ""Diseases or conditions specifically associated with the female class include [Ovarian Cancer, Endometriosis, Polycystic Ovary Syndrome, Breast Cancer]."", ""Axioms distinguishing the female class include [Presence of Female Reproductive Organs, XX Chromosomes, Capacity for Gestation].""]"
gangrene,"[""What are the superclasses of gangrene in a disease ontology?"", ""What pathological processes characterize gangrene, such as tissue necrosis?"", ""Which anatomical regions are most commonly affected by gangrene?"", ""What etiological factors or causes are associated with gangrene (e.g., infection, ischemia)?"", ""What microorganisms or pathogens are commonly involved in infectious gangrene?"", ""What are the subclassifications of gangrene, such as dry, wet, or gas gangrene?"", ""What clinical manifestations or symptoms are typically observed in gangrene?"", ""What relationships exist between gangrene and underlying vascular diseases?"", ""What data properties describe gangrene, such as onset, severity, or progression?"", ""What axioms define the diagnostic criteria for gangrene in clinical ontologies?""]","[""Gangrene is categorized under the superclasses [Disease, Necrotic Disorder, Tissue Injury]."", ""Gangrene is defined by pathological processes including [Tissue Necrosis, Ischemia, Infection]."", ""Gangrene most frequently affects anatomical regions such as [Extremities, Toes, Fingers, Limbs]."", ""Gangrene is associated with etiological factors like [Ischemia, Bacterial Infection, Trauma, Diabetes Mellitus]."", ""Common pathogens involved in infectious gangrene include [Clostridium perfringens, Streptococcus species, Staphylococcus aureus]."", ""Gangrene is subclassified into types such as [Dry Gangrene, Wet Gangrene, Gas Gangrene, Internal Gangrene]."", ""Typical clinical manifestations of gangrene are [Discoloration, Foul Odor, Tissue Loss, Pain, Swelling]."", ""Gangrene is often related to underlying vascular diseases such as [Peripheral Arterial Disease, Atherosclerosis, Diabetes-Related Vasculopathy]."", ""Descriptive data properties of gangrene include [Onset, Severity, Rate of Progression, Extent of Tissue Involvement]."", ""Diagnostic criteria for gangrene in clinical ontologies are defined by [Presence of Tissue Necrosis, Evidence of Infection or Ischemia, Clinical Symptoms, Imaging Findings].""]"
gastrointestinal,"[""What are the superclasses of gastrointestinal in anatomical or physiological ontologies?"", ""Which organs are included within the gastrointestinal system?"", ""What biological processes are regulated by the gastrointestinal system, such as digestion and nutrient absorption?"", ""What types of tissues and cell types are characteristic of the gastrointestinal tract?"", ""What relationships exist between the gastrointestinal system and other organ systems, such as the endocrine or immune systems?"", ""What structural features define the organization of the gastrointestinal tract, such as layers or segments?"", ""What data properties describe the gastrointestinal system, for example, its length or surface area?"", ""What diseases or disorders are specifically associated with the gastrointestinal system?"", ""What axioms or logical definitions capture the role of the gastrointestinal system in metabolism?""]","[""The gastrointestinal system is categorized under superclasses such as [Organ System, Digestive System]."", ""The gastrointestinal system comprises organs including [Esophagus, Stomach, Small Intestine, Large Intestine, Rectum, Anus]."", ""The gastrointestinal system regulates biological processes such as [Digestion, Nutrient Absorption, Waste Elimination]."", ""Characteristic tissues and cell types of the gastrointestinal tract include [Mucosal Epithelium, Smooth Muscle Cells, Enteric Neurons, Goblet Cells]."", ""The gastrointestinal system interacts with other organ systems such as the [Endocrine System, Immune System, Nervous System]."", ""Structural features defining the gastrointestinal tract include [Mucosa, Submucosa, Muscularis Externa, Serosa, Segmentation into Regions]."", ""Descriptive properties of the gastrointestinal system include [Total Length, Surface Area, Lumen Diameter, Transit Time]."", ""Diseases commonly associated with the gastrointestinal system include [Gastroesophageal Reflux Disease, Inflammatory Bowel Disease, Peptic Ulcer, Colorectal Cancer]."", ""Logical definitions of the gastrointestinal system's role in metabolism include [Processing of Nutrients, Absorption of Macronutrients, Regulation of Energy Balance].""]"
hematologic,"[""What are the superclasses of hematologic in a biomedical ontology?"", ""Which biological processes are encompassed by the hematologic class, such as hematopoiesis or coagulation?"", ""What types of cells or tissues are classified under hematologic, for example, erythrocytes or bone marrow?"", ""What diseases or disorders are considered hematologic in nature?"", ""What molecular pathways are typically associated with hematologic functions?"", ""Which organ systems are related to hematologic processes, such as the circulatory or immune systems?"", ""What data properties describe hematologic entities, such as blood cell counts or hemoglobin levels?"", ""What relationships exist between hematologic components and other physiological systems?"", ""What axioms or logical definitions define the scope of the hematologic class in medical ontologies?""]","[""The hematologic class is a subclass of [Biological Process, Physiological System, Medical Specialty]."", ""The hematologic class includes biological processes such as [Hematopoiesis, Coagulation, Hemostasis, Immune Response]."", ""Cell and tissue types classified under hematologic include [Erythrocytes, Leukocytes, Platelets, Bone Marrow, Lymphoid Tissue]."", ""Diseases considered hematologic in nature include [Anemia, Leukemia, Hemophilia, Lymphoma, Thrombocytopenia]."", ""Molecular pathways associated with hematologic functions include [Erythropoietin Signaling, Coagulation Cascade, Complement Pathway]."", ""Organ systems related to hematologic processes are [Circulatory System, Immune System, Lymphatic System]."", ""Data properties describing hematologic entities include [Blood Cell Count, Hemoglobin Level, Hematocrit, Clotting Time]."", ""Hematologic components interact with other physiological systems such as [Cardiovascular System, Immune System, Endocrine System]."", ""Axioms defining the hematologic class include involvement in [Blood Formation, Cellular Transport, Immune Defense, Hemostasis].""]"
image,"[""What are the superclasses of image in a biomedical imaging ontology?"", ""Which imaging modalities (e.g., MRI, CT, X-ray) can be subclasses of image?"", ""What anatomical structures or regions can an image depict?"", ""What data properties describe an image, such as resolution, modality, or acquisition date?"", ""What relationships exist between an image and the patient or specimen it represents?"", ""How is image quality or diagnostic value defined in biomedical contexts?"", ""What metadata is typically associated with a biomedical image (e.g., DICOM tags)?"", ""What processes or workflows generate or modify an image in clinical practice?"", ""Which ontological axioms define the role of image in diagnosis or research?""]","[""An image is categorized under superclasses such as [Digital Object, Data Representation, Medical Record Component]."", ""Imaging modalities that can be subclasses of image include [Magnetic Resonance Imaging (MRI), Computed Tomography (CT), X-ray, Ultrasound, Positron Emission Tomography (PET)]."", ""An image can depict anatomical structures or regions such as [Brain, Heart, Lungs, Abdomen, Bones]."", ""Data properties describing an image include [Resolution, Modality, Acquisition Date, File Format, Dimensions]."", ""An image is related to the patient or specimen it represents through relationships like [Subject Of, Derived From, Associated With]."", ""Image quality or diagnostic value in biomedical contexts is defined by factors such as [Clarity, Contrast, Signal-to-Noise Ratio, Diagnostic Accuracy]."", ""Typical metadata associated with a biomedical image includes [Patient ID, Study Date, Modality, Acquisition Parameters, DICOM Tags]."", ""Processes or workflows that generate or modify an image in clinical practice include [Image Acquisition, Preprocessing, Annotation, Segmentation, Enhancement]."", ""Ontological axioms defining the role of image in diagnosis or research include [Evidence For Diagnosis, Supports Clinical Decision, Enables Quantitative Analysis].""]"
jejunum,"[""What are the superclasses of jejunum in an anatomical ontology?"", ""Which organ systems include the jejunum, such as the digestive system?"", ""What are the anatomical boundaries that distinguish the jejunum from the duodenum and ileum?"", ""What types of epithelial and supporting cells are found in the jejunum?"", ""What are the primary physiological functions of the jejunum in nutrient absorption?"", ""Which blood vessels supply and drain the jejunum?"", ""What structural features, such as villi and plicae circulares, characterize the jejunum?"", ""What relationships exist between the jejunum and associated lymphatic tissues, such as Peyer\u2019s patches?"", ""What data properties describe the jejunum, for example, its length or diameter?"", ""What axioms define the jejunum\u2019s role in the process of digestion and absorption?""]","[""The jejunum is categorized under the superclasses [Section of Small Intestine, Segment of Gastrointestinal Tract]."", ""The jejunum is included in the [Digestive System, Gastrointestinal Tract]."", ""The jejunum is anatomically bounded proximally by the [Duodenojejunal Flexure] and distally by the [Ileojejunal Junction]."", ""The jejunum contains epithelial cells such as [Enterocytes, Goblet Cells] and supporting cells like [Paneth Cells, Smooth Muscle Cells]."", ""The jejunum\u2019s primary physiological functions are [Absorption of Nutrients, Absorption of Water, Electrolyte Transport]."", ""The jejunum receives arterial blood from branches of the [Superior Mesenteric Artery] and is drained by the [Superior Mesenteric Vein]."", ""The jejunum is characterized by structural features including [Villi, Plicae Circulares, Crypts of Lieberk\u00fchn]."", ""The jejunum is associated with lymphatic tissues such as [Scattered Lymphoid Follicles] but contains fewer [Peyer\u2019s Patches] than the ileum."", ""Descriptive properties of the jejunum include [Length: 2\u20132.5 meters, Diameter: 2\u20134 cm, Wall Thickness]."", ""Axioms defining the jejunum\u2019s role include [Facilitating Digestion, Mediating Absorption of Carbohydrates, Proteins, and Lipids].""]"
lesions,"[""What are the superclasses of lesions in a pathological ontology?"", ""What types or subtypes of lesions are recognized in clinical classification systems?"", ""Which anatomical locations can lesions occur in?"", ""What cellular or tissue changes characterize lesions?"", ""What etiological factors are associated with the formation of lesions?"", ""What relationships exist between lesions and disease processes?"", ""What imaging or diagnostic modalities are used to identify lesions?"", ""What data properties describe lesions, such as size, shape, or composition?"", ""What axioms define the pathological significance of lesions in biomedical ontologies?""]","[""Lesions are categorized under the superclasses [Pathological Entity, Abnormal Structure]."", ""Recognized types of lesions include [Ulcer, Tumor, Nodule, Plaque, Erosion]."", ""Lesions can occur in anatomical locations such as [Skin, Liver, Brain, Lungs, Gastrointestinal Tract]."", ""Lesions are characterized by cellular or tissue changes like [Necrosis, Inflammation, Hyperplasia, Atrophy]."", ""Etiological factors for lesions include [Infection, Trauma, Neoplasia, Autoimmune Reaction, Ischemia]."", ""Lesions are related to disease processes through roles in [Diagnosis, Disease Progression, Prognosis]."", ""Imaging and diagnostic modalities for lesions include [MRI, CT Scan, Ultrasound, X-ray, Biopsy]."", ""Descriptive data properties of lesions encompass [Size, Shape, Location, Composition, Margin Definition]."", ""Pathological significance of lesions is defined by axioms such as [Indicator of Disease, Marker of Tissue Damage, Contributor to Clinical Symptoms].""]"
