class,knowledge_questions,generated_knowledge
acrocyanosis,"[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]","[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]"
acute lymphocytic leukemia,"[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]","[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]"
adenocarcinoma,"[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]","[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]"
adenocarcinomadoes,"[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]","[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]"
adherent,"[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]","[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]"
adjacent,"[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]","[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]"
adrenal,"[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]","[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]"
amebiasis,"[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]","[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]"
amebiasisis,"[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]","[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]"
amyloid angiopathy,"[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]","[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]"
